name,datetime,block_ix,trial_ix,sound_x,sound_y,reversed,category,similarity,notes,repeat
maggie,2017-03-02 11:39:41.176000,2,66,95,228,1,water,6,None,0
maggie,2017-03-02 11:39:41.176000,2,67,403,455,0,water,6,None,0
maggie,2017-03-02 11:39:41.176000,2,68,179,291,1,water,3,None,0
maggie,2017-03-02 11:39:41.176000,2,69,88,179,1,water,1,None,0
maggie,2017-03-02 11:39:41.176000,2,72,303,353,1,water,7,None,0
maggie,2017-03-02 11:39:41.176000,2,73,224,249,1,water,-1,None,1
maggie,2017-03-02 11:39:41.176000,2,73,224,249,1,water,3,None,0
maggie,2017-03-02 11:39:41.176000,2,74,485,563,0,water,3,None,0
maggie,2017-03-02 11:39:41.176000,2,75,200,285,1,water,-1,None,1
maggie,2017-03-02 11:39:41.176000,2,75,200,285,1,water,-1,unrelated noise in beginning of first sound,0
maggie,2017-03-02 11:39:41.176000,2,76,536,541,0,water,5,None,0
maggie,2017-03-02 11:39:41.176000,2,80,184,312,1,water,5,None,0
maggie,2017-03-02 11:39:41.176000,2,81,353,459,0,water,7,None,0
maggie,2017-03-02 11:39:41.176000,3,109,397,497,0,water,7,None,0
maggie,2017-03-02 11:39:41.176000,3,110,476,534,1,water,6,None,0
maggie,2017-03-02 11:39:41.176000,3,114,289,397,0,water,6,None,0
maggie,2017-03-02 11:39:41.176000,3,116,375,504,1,water,6,None,0
maggie,2017-03-02 11:39:41.176000,3,118,414,487,0,water,6,None,0
maggie,2017-03-02 11:39:41.176000,3,120,258,279,0,water,5,None,0
maggie,2017-03-02 11:39:41.176000,3,121,351,485,0,water,4,None,0
maggie,2017-03-02 11:39:41.176000,3,122,64,258,1,water,4,None,0
maggie,2017-03-02 11:39:41.176000,3,126,73,234,0,water,4,None,0
maggie,2017-03-02 11:39:41.176000,3,127,112,173,0,water,5,None,0
maggie,2017-03-02 11:39:41.176000,3,130,369,421,1,water,-1,None,1
maggie,2017-03-02 11:39:41.176000,3,130,369,421,1,water,4,None,0
maggie,2017-03-02 11:39:41.176000,3,132,372,448,1,water,2,None,0
maggie,2017-03-02 11:39:41.176000,3,135,279,414,1,water,7,None,0
maggie,2017-03-02 11:39:41.176000,3,136,337,410,1,water,6,None,0
maggie,2017-03-02 11:39:41.176000,3,137,312,381,0,water,6,None,0
maggie,2017-03-02 11:39:41.176000,3,138,165,327,0,water,-1,None,1
maggie,2017-03-02 11:39:41.176000,3,138,165,327,0,water,-1,second sound skips in the middle,0
maggie,2017-03-02 11:39:41.176000,3,146,246,340,0,water,7,None,0
maggie,2017-03-02 11:39:41.176000,3,147,465,511,1,water,5,None,0
maggie,2017-03-02 11:39:41.176000,3,151,386,492,0,water,5,None,0
maggie,2017-03-02 11:39:41.176000,3,152,492,515,1,water,5,None,0
maggie,2017-03-02 11:39:41.176000,3,153,137,231,1,water,5,None,0
maggie,2017-03-02 11:39:41.176000,3,154,340,363,1,water,5,None,0
maggie,2017-03-02 11:39:41.176000,3,155,231,315,1,water,6,None,0
maggie,2017-03-02 11:39:41.176000,3,156,315,364,0,water,-1,None,1
maggie,2017-03-02 11:39:41.176000,3,156,315,364,0,water,6,None,0
