name,datetime,block_ix,trial_ix,sound_x,sound_y,reversed,category,similarity,notes,repeat
Skye,2016-11-07 14:52:30.934000,2,128,279,414,1,water,2,None,0
Skye,2016-11-07 14:52:30.934000,2,135,303,353,1,water,7,None,0
Skye,2016-11-07 14:52:30.934000,2,136,459,564,0,water,6,None,0
Skye,2016-11-07 14:52:30.934000,2,150,200,285,0,water,6,None,0
Skye,2016-11-07 14:52:30.934000,3,153,240,267,1,water,6,None,0
Skye,2016-11-07 14:52:30.934000,3,154,397,497,1,water,7,None,0
Skye,2016-11-07 14:52:30.934000,3,156,375,504,1,water,6,None,0
Skye,2016-11-07 14:52:30.934000,3,158,381,476,1,water,7,None,0
Skye,2016-11-07 14:52:30.934000,3,159,295,375,1,water,2,None,0
Skye,2016-11-07 14:52:30.934000,3,160,173,295,1,water,1,None,0
Skye,2016-11-07 14:52:30.934000,3,163,351,485,0,water,1,None,0
Skye,2016-11-07 14:52:30.934000,3,165,224,249,1,water,3,None,0
Skye,2016-11-07 14:52:30.934000,3,166,249,303,0,water,3,None,0
Skye,2016-11-07 14:52:30.934000,3,167,58,200,0,water,4,None,0
Skye,2016-11-07 14:52:30.934000,3,168,353,459,1,water,6,None,0
Skye,2016-11-07 14:52:30.934000,3,170,253,326,1,water,7,None,0
Skye,2016-11-07 14:52:30.934000,3,173,165,327,1,water,2,None,0
Skye,2016-11-07 14:52:30.934000,3,174,369,421,0,water,1,None,0
Skye,2016-11-07 14:52:30.934000,3,176,343,372,1,water,7,None,0
Skye,2016-11-07 14:52:30.934000,3,177,179,291,0,water,1,None,0
Skye,2016-11-07 14:52:30.934000,3,179,285,351,1,water,1,None,0
Skye,2016-11-07 14:52:30.934000,3,180,246,340,1,water,7,None,0
Skye,2016-11-07 14:52:30.934000,3,182,183,337,0,water,6,None,0
Skye,2016-11-07 14:52:30.934000,4,224,220,536,0,water,3,None,0
Skye,2016-11-07 14:52:30.934000,4,227,485,563,0,water,5,None,0
Skye,2016-11-07 14:52:30.934000,4,234,364,555,1,water,6,None,0
Skye,2016-11-07 14:52:30.934000,4,236,289,397,1,water,6,None,0
Skye,2016-11-07 14:52:30.934000,4,237,267,289,1,water,6,None,0
Skye,2016-11-07 14:52:30.934000,4,240,258,279,0,water,3,None,0
Skye,2016-11-07 14:52:30.934000,4,246,272,347,1,water,7,None,0
Skye,2016-11-07 14:52:30.934000,4,247,228,272,0,water,6,None,0
Skye,2016-11-07 14:52:30.934000,4,249,291,403,0,water,2,None,0
Skye,2016-11-07 14:52:30.934000,4,253,246,343,1,water,7,None,0
Skye,2016-11-07 14:52:30.934000,4,254,264,310,0,water,1,None,0
Skye,2016-11-07 14:52:30.934000,4,256,234,274,0,water,2,None,0
Skye,2016-11-07 14:52:30.934000,4,260,153,161,1,water,2,None,0
Skye,2016-11-07 14:52:30.934000,4,267,327,441,0,water,2,None,0
Skye,2016-11-07 14:52:30.934000,4,275,214,246,0,water,1,None,0
Skye,2016-11-07 14:52:30.934000,4,296,476,534,1,water,3,None,0
