sound_x,sound_y
../data/sounds/410.wav,../data/sounds/442.wav
../data/sounds/112.wav,../data/sounds/173.wav
../data/sounds/173.wav,../data/sounds/295.wav
../data/sounds/295.wav,../data/sounds/375.wav
../data/sounds/375.wav,../data/sounds/504.wav
../data/sounds/504.wav,../data/sounds/531.wav
../data/sounds/92.wav,../data/sounds/184.wav
../data/sounds/184.wav,../data/sounds/312.wav
../data/sounds/312.wav,../data/sounds/381.wav
../data/sounds/381.wav,../data/sounds/476.wav
../data/sounds/476.wav,../data/sounds/534.wav
../data/sounds/116.wav,../data/sounds/307.wav
../data/sounds/307.wav,../data/sounds/348.wav
../data/sounds/348.wav,../data/sounds/449.wav
../data/sounds/449.wav,../data/sounds/475.wav
../data/sounds/475.wav,../data/sounds/538.wav
../data/sounds/111.wav,../data/sounds/305.wav
../data/sounds/136.wav,../data/sounds/199.wav
../data/sounds/199.wav,../data/sounds/368.wav
../data/sounds/368.wav,../data/sounds/438.wav
../data/sounds/438.wav,../data/sounds/489.wav
../data/sounds/113.wav,../data/sounds/539.wav
../data/sounds/539.wav,../data/sounds/540.wav
../data/sounds/172.wav,../data/sounds/301.wav
../data/sounds/301.wav,../data/sounds/361.wav
../data/sounds/361.wav,../data/sounds/423.wav
../data/sounds/423.wav,../data/sounds/460.wav
../data/sounds/460.wav,../data/sounds/554.wav
../data/sounds/220.wav,../data/sounds/536.wav
../data/sounds/536.wav,../data/sounds/541.wav
../data/sounds/58.wav,../data/sounds/200.wav
../data/sounds/200.wav,../data/sounds/285.wav
../data/sounds/285.wav,../data/sounds/351.wav
../data/sounds/351.wav,../data/sounds/485.wav
../data/sounds/485.wav,../data/sounds/563.wav
../data/sounds/224.wav,../data/sounds/249.wav
../data/sounds/249.wav,../data/sounds/303.wav
../data/sounds/303.wav,../data/sounds/353.wav
../data/sounds/353.wav,../data/sounds/459.wav
../data/sounds/459.wav,../data/sounds/564.wav
../data/sounds/54.wav,../data/sounds/167.wav
../data/sounds/167.wav,../data/sounds/287.wav
../data/sounds/287.wav,../data/sounds/298.wav
../data/sounds/103.wav,../data/sounds/182.wav
../data/sounds/182.wav,../data/sounds/275.wav
../data/sounds/275.wav,../data/sounds/345.wav
../data/sounds/139.wav,../data/sounds/146.wav
../data/sounds/146.wav,../data/sounds/218.wav
../data/sounds/218.wav,../data/sounds/342.wav
../data/sounds/105.wav,../data/sounds/150.wav
../data/sounds/150.wav,../data/sounds/262.wav
../data/sounds/262.wav,../data/sounds/332.wav
../data/sounds/332.wav,../data/sounds/412.wav
../data/sounds/209.wav,../data/sounds/253.wav
../data/sounds/253.wav,../data/sounds/326.wav
../data/sounds/115.wav,../data/sounds/264.wav
../data/sounds/264.wav,../data/sounds/310.wav
../data/sounds/310.wav,../data/sounds/369.wav
../data/sounds/369.wav,../data/sounds/421.wav
../data/sounds/214.wav,../data/sounds/246.wav
../data/sounds/246.wav,../data/sounds/340.wav
../data/sounds/340.wav,../data/sounds/363.wav
../data/sounds/52.wav,../data/sounds/183.wav
../data/sounds/183.wav,../data/sounds/337.wav
../data/sounds/337.wav,../data/sounds/410.wav
../data/sounds/214.wav,../data/sounds/246.wav
../data/sounds/246.wav,../data/sounds/343.wav
../data/sounds/343.wav,../data/sounds/372.wav
../data/sounds/372.wav,../data/sounds/448.wav
../data/sounds/112.wav,../data/sounds/173.wav
../data/sounds/173.wav,../data/sounds/295.wav
../data/sounds/295.wav,../data/sounds/375.wav
../data/sounds/88.wav,../data/sounds/179.wav
../data/sounds/179.wav,../data/sounds/291.wav
../data/sounds/291.wav,../data/sounds/403.wav
../data/sounds/403.wav,../data/sounds/455.wav
../data/sounds/95.wav,../data/sounds/228.wav
../data/sounds/228.wav,../data/sounds/272.wav
../data/sounds/272.wav,../data/sounds/347.wav
../data/sounds/347.wav,../data/sounds/466.wav
../data/sounds/73.wav,../data/sounds/234.wav
../data/sounds/234.wav,../data/sounds/274.wav
../data/sounds/274.wav,../data/sounds/359.wav
../data/sounds/359.wav,../data/sounds/479.wav
../data/sounds/64.wav,../data/sounds/258.wav
../data/sounds/258.wav,../data/sounds/279.wav
../data/sounds/279.wav,../data/sounds/414.wav
../data/sounds/414.wav,../data/sounds/487.wav
../data/sounds/240.wav,../data/sounds/267.wav
../data/sounds/267.wav,../data/sounds/289.wav
../data/sounds/289.wav,../data/sounds/397.wav
../data/sounds/397.wav,../data/sounds/497.wav
../data/sounds/137.wav,../data/sounds/231.wav
../data/sounds/231.wav,../data/sounds/315.wav
../data/sounds/315.wav,../data/sounds/364.wav
../data/sounds/364.wav,../data/sounds/555.wav
../data/sounds/103.wav,../data/sounds/182.wav
../data/sounds/182.wav,../data/sounds/275.wav
../data/sounds/98.wav,../data/sounds/211.wav
../data/sounds/211.wav,../data/sounds/233.wav
../data/sounds/50.wav,../data/sounds/165.wav
../data/sounds/165.wav,../data/sounds/327.wav
../data/sounds/87.wav,../data/sounds/266.wav
../data/sounds/210.wav,../data/sounds/232.wav
../data/sounds/277.wav,../data/sounds/314.wav
../data/sounds/314.wav,../data/sounds/336.wav
../data/sounds/90.wav,../data/sounds/193.wav
../data/sounds/95.wav,../data/sounds/228.wav
../data/sounds/61.wav,../data/sounds/263.wav
../data/sounds/263.wav,../data/sounds/324.wav
../data/sounds/214.wav,../data/sounds/246.wav
