,sound_x,sound_y,similarity
131,63,203,0.02472051154123233
132,63,206,0.019545594305434788
133,63,207,0.02308038334646775
134,63,211,0.021441155136422103
135,63,216,0.017025226207504986
136,63,217,0.019130948384139757
137,63,222,0.02088458559204749
138,63,225,0.016037326991987618
139,63,228,0.014620093453003843
140,63,231,0.017705321338554403
141,63,234,0.017862588625557344
142,63,246,0.021847356756468195
143,63,249,0.005405486553411682
144,63,253,0.021916477883491988
145,63,258,0.01511732857981297
146,63,264,0.018757632029812062
147,63,267,0.010727282144473766
148,63,536,0.021001567417504332
149,63,539,0.019668728218395392
150,72,146,0.019082185662618475
151,72,150,0.020732232054324704
152,72,154,0.015097529125098229
153,72,155,0.013214737122631149
154,72,158,0.014260782416728684
155,72,161,0.0158332759209991
156,72,162,0.018463872188375342
157,72,163,0.018037879453830195
158,72,165,0.016007887606263115
159,72,166,0.014566727060543782
160,72,167,0.014020414036057123
161,72,173,0.017450433584078717
162,72,174,0.015889623258125457
163,72,175,0.014073137050670122
164,72,176,0.01705594784989449
165,72,177,0.01709473288878317
166,72,179,0.01596648084370457
167,72,181,0.011741977223366172
168,72,182,0.01616383116072466
169,72,183,0.015208870391130959
170,72,184,0.02232983627685648
171,72,185,0.020699003266903614
172,72,187,0.021370360767058817
173,72,189,0.01917374576861798
174,72,191,0.019679076563721615
175,72,193,0.02008021445795419
176,72,196,0.015004338378565575
177,72,197,0.019540583014782863
178,72,198,0.01656438522114169
179,72,200,0.01792007770648027
180,72,202,0.014991645907094753
181,72,203,0.022060616094763782
182,72,206,0.018929820712524748
183,72,207,0.020211433488604956
184,72,211,0.019409235554435883
185,72,216,0.017539795855852115
186,72,217,0.01672396510395427
187,72,222,0.019986510358680463
188,72,225,0.01600475941868621
189,72,228,0.013614783295890429
190,72,231,0.01591099701788184
191,72,234,0.01769107721598174
192,72,246,0.021016057824578768
193,72,249,0.00536733261884077
194,72,253,0.020097826086840503
195,72,258,0.014426490541199275
196,72,264,0.01853537383659241
197,72,267,0.01052737667454415
198,72,536,0.020654108780968718
199,72,539,0.0198829637092921
200,87,146,0.017645233828707408
201,87,150,0.01623962845741555
202,87,154,0.015328375028960138
203,87,155,0.015170602222910744
204,87,158,0.01613339427316132
205,87,161,0.013684761840555176
206,87,162,0.016233019608125825
207,87,163,0.013984346674273757
208,87,165,0.015919087639452583
209,87,166,0.014440339087577922
210,87,167,0.013827014632922392
211,87,173,0.020342090486816247
212,87,174,0.02023133998111096
213,87,175,0.014897835352146529
214,87,176,0.019061568313415204
215,87,177,0.019425962605832774
216,87,179,0.016008759403794263
217,87,181,0.010710865440495442
218,87,182,0.014129301015246253
219,87,183,0.014134837879044687
220,87,184,0.019037724828189096
221,87,185,0.018223281271455186
222,87,187,0.0194211384713898
223,87,189,0.017723196831657056
224,87,191,0.017659220984094625
225,87,193,0.022332913083866902
226,87,196,0.0126972884135658
