branch_id,sound_x,sound_y,similarity
74,240,267,0.011072295304886588
74,267,289,0.009810969929235969
74,289,397,0.011363575384782526
74,397,497,0.008591624955533896
75,364,555,0.012333841959116762
77,98,211,0.017974583464334178
77,211,233,0.016016317627093518
81,210,232,0.006478480371261686
85,61,263,0.008502983329406076
85,263,324,0.01214751894564944
